crdm_sure_amt,crdm_sure_p,crdm_lott_left,crdm_lott_right,crdm_lott_p,crdm_amb_lev,crdm_domain,crdm_img,crdm_nonzero_side,crdm_winning_color
5,100,5,0,25,0,gain,machine_b2_r6.png,left,blue
5,100,0,10,25,0,gain,machine_b6_r2.png,right,red
5,100,15,0,25,0,gain,machine_b2_r6.png,left,blue
5,100,0,20,25,0,gain,machine_b6_r2.png,right,red
5,100,25,0,25,0,gain,machine_b2_r6.png,left,blue
5,100,0,30,25,0,gain,machine_b6_r2.png,right,red
5,100,35,0,25,0,gain,machine_b2_r6.png,left,blue
5,100,0,40,25,0,gain,machine_b6_r2.png,right,red
5,100,45,0,25,0,gain,machine_b2_r6.png,left,blue
5,100,0,50,25,0,gain,machine_b6_r2.png,right,red
5,100,4,0,25,0,gain,machine_b2_r6.png,left,blue
5,100,0,11,25,0,gain,machine_b6_r2.png,right,red
5,100,14,0,25,0,gain,machine_b2_r6.png,left,blue
5,100,0,21,25,0,gain,machine_b6_r2.png,right,red
5,100,24,0,25,0,gain,machine_b2_r6.png,left,blue
5,100,0,31,25,0,gain,machine_b6_r2.png,right,red
5,100,34,0,25,0,gain,machine_b2_r6.png,left,blue
5,100,0,41,25,0,gain,machine_b6_r2.png,right,red
5,100,44,0,25,0,gain,machine_b2_r6.png,left,blue
5,100,0,49,25,0,gain,machine_b6_r2.png,right,red
5,100,6,0,25,0,gain,machine_b2_r6.png,left,blue
5,100,0,9,25,0,gain,machine_b6_r2.png,right,red
5,100,16,0,25,0,gain,machine_b2_r6.png,left,blue
5,100,0,19,25,0,gain,machine_b6_r2.png,right,red
5,100,26,0,25,0,gain,machine_b2_r6.png,left,blue
5,100,0,29,25,0,gain,machine_b6_r2.png,right,red
5,100,36,0,25,0,gain,machine_b2_r6.png,left,blue
5,100,0,39,25,0,gain,machine_b6_r2.png,right,red
5,100,46,0,25,0,gain,machine_b2_r6.png,left,blue
5,100,0,50,25,0,gain,machine_b6_r2.png,right,red
5,100,5,0,50,0,gain,machine_b4_r4.png,left,blue
5,100,0,10,50,0,gain,machine_b4_r4.png,right,red
5,100,15,0,50,0,gain,machine_b4_r4.png,left,blue
5,100,0,20,50,0,gain,machine_b4_r4.png,right,red
5,100,25,0,50,0,gain,machine_b4_r4.png,left,blue
5,100,0,30,50,0,gain,machine_b4_r4.png,right,red
5,100,35,0,50,0,gain,machine_b4_r4.png,left,blue
5,100,0,40,50,0,gain,machine_b4_r4.png,right,red
5,100,45,0,50,0,gain,machine_b4_r4.png,left,blue
5,100,0,50,50,0,gain,machine_b4_r4.png,right,red
5,100,4,0,50,0,gain,machine_b4_r4.png,left,blue
5,100,0,11,50,0,gain,machine_b4_r4.png,right,red
5,100,14,0,50,0,gain,machine_b4_r4.png,left,blue
5,100,0,21,50,0,gain,machine_b4_r4.png,right,red
5,100,24,0,50,0,gain,machine_b4_r4.png,left,blue
5,100,0,31,50,0,gain,machine_b4_r4.png,right,red
5,100,34,0,50,0,gain,machine_b4_r4.png,left,blue
5,100,0,41,50,0,gain,machine_b4_r4.png,right,red
5,100,44,0,50,0,gain,machine_b4_r4.png,left,blue
5,100,0,49,50,0,gain,machine_b4_r4.png,right,red
5,100,6,0,50,0,gain,machine_b4_r4.png,left,blue
5,100,0,9,50,0,gain,machine_b4_r4.png,right,red
5,100,16,0,50,0,gain,machine_b4_r4.png,left,blue
5,100,0,19,50,0,gain,machine_b4_r4.png,right,red
5,100,26,0,50,0,gain,machine_b4_r4.png,left,blue
5,100,0,29,50,0,gain,machine_b4_r4.png,right,red
5,100,36,0,50,0,gain,machine_b4_r4.png,left,blue
5,100,0,39,50,0,gain,machine_b4_r4.png,right,red
5,100,46,0,50,0,gain,machine_b4_r4.png,left,blue
5,100,0,50,50,0,gain,machine_b4_r4.png,right,red
5,100,5,0,75,0,gain,machine_b6_r2.png,left,blue
5,100,0,10,75,0,gain,machine_b2_r6.png,right,red
5,100,15,0,75,0,gain,machine_b6_r2.png,left,blue
5,100,0,20,75,0,gain,machine_b2_r6.png,right,red
5,100,25,0,75,0,gain,machine_b6_r2.png,left,blue
5,100,0,30,75,0,gain,machine_b2_r6.png,right,red
5,100,35,0,75,0,gain,machine_b6_r2.png,left,blue
5,100,0,40,75,0,gain,machine_b2_r6.png,right,red
5,100,45,0,75,0,gain,machine_b6_r2.png,left,blue
5,100,0,50,75,0,gain,machine_b2_r6.png,right,red
5,100,4,0,75,0,gain,machine_b6_r2.png,left,blue
5,100,0,11,75,0,gain,machine_b2_r6.png,right,red
5,100,14,0,75,0,gain,machine_b6_r2.png,left,blue
5,100,0,21,75,0,gain,machine_b2_r6.png,right,red
5,100,24,0,75,0,gain,machine_b6_r2.png,left,blue
5,100,0,31,75,0,gain,machine_b2_r6.png,right,red
5,100,34,0,75,0,gain,machine_b6_r2.png,left,blue
5,100,0,41,75,0,gain,machine_b2_r6.png,right,red
5,100,44,0,75,0,gain,machine_b6_r2.png,left,blue
5,100,0,49,75,0,gain,machine_b2_r6.png,right,red
5,100,6,0,75,0,gain,machine_b6_r2.png,left,blue
5,100,0,9,75,0,gain,machine_b2_r6.png,right,red
5,100,16,0,75,0,gain,machine_b6_r2.png,left,blue
5,100,0,19,75,0,gain,machine_b2_r6.png,right,red
5,100,26,0,75,0,gain,machine_b6_r2.png,left,blue
5,100,0,29,75,0,gain,machine_b2_r6.png,right,red
5,100,36,0,75,0,gain,machine_b6_r2.png,left,blue
5,100,0,39,75,0,gain,machine_b2_r6.png,right,red
5,100,46,0,75,0,gain,machine_b6_r2.png,left,blue
5,100,0,50,75,0,gain,machine_b2_r6.png,right,red
-5,100,-5,0,25,0,loss,machine_b2_r6.png,left,red
-5,100,0,-10,25,0,loss,machine_b6_r2.png,right,blue
-5,100,-15,0,25,0,loss,machine_b2_r6.png,left,red
-5,100,0,-20,25,0,loss,machine_b6_r2.png,right,blue
-5,100,-25,0,25,0,loss,machine_b2_r6.png,left,red
-5,100,0,-30,25,0,loss,machine_b6_r2.png,right,blue
-5,100,-35,0,25,0,loss,machine_b2_r6.png,left,red
-5,100,0,-40,25,0,loss,machine_b6_r2.png,right,blue
-5,100,-45,0,25,0,loss,machine_b2_r6.png,left,red
-5,100,0,-50,25,0,loss,machine_b6_r2.png,right,blue
-5,100,-4,0,25,0,loss,machine_b2_r6.png,left,red
-5,100,0,-11,25,0,loss,machine_b6_r2.png,right,blue
-5,100,-14,0,25,0,loss,machine_b2_r6.png,left,red
-5,100,0,-21,25,0,loss,machine_b6_r2.png,right,blue
-5,100,-24,0,25,0,loss,machine_b2_r6.png,left,red
-5,100,0,-31,25,0,loss,machine_b6_r2.png,right,blue
-5,100,-34,0,25,0,loss,machine_b2_r6.png,left,red
-5,100,0,-41,25,0,loss,machine_b6_r2.png,right,blue
-5,100,-44,0,25,0,loss,machine_b2_r6.png,left,red
-5,100,0,-49,25,0,loss,machine_b6_r2.png,right,blue
-5,100,-6,0,25,0,loss,machine_b2_r6.png,left,red
-5,100,0,-9,25,0,loss,machine_b6_r2.png,right,blue
-5,100,-16,0,25,0,loss,machine_b2_r6.png,left,red
-5,100,0,-19,25,0,loss,machine_b6_r2.png,right,blue
-5,100,-26,0,25,0,loss,machine_b2_r6.png,left,red
-5,100,0,-29,25,0,loss,machine_b6_r2.png,right,blue
-5,100,-36,0,25,0,loss,machine_b2_r6.png,left,red
-5,100,0,-39,25,0,loss,machine_b6_r2.png,right,blue
-5,100,-46,0,25,0,loss,machine_b2_r6.png,left,red
-5,100,0,-50,25,0,loss,machine_b6_r2.png,right,blue
-5,100,-5,0,50,0,loss,machine_b4_r4.png,left,red
-5,100,0,-10,50,0,loss,machine_b4_r4.png,right,blue
-5,100,-15,0,50,0,loss,machine_b4_r4.png,left,red
-5,100,0,-20,50,0,loss,machine_b4_r4.png,right,blue
-5,100,-25,0,50,0,loss,machine_b4_r4.png,left,red
-5,100,0,-30,50,0,loss,machine_b4_r4.png,right,blue
-5,100,-35,0,50,0,loss,machine_b4_r4.png,left,red
-5,100,0,-40,50,0,loss,machine_b4_r4.png,right,blue
-5,100,-45,0,50,0,loss,machine_b4_r4.png,left,red
-5,100,0,-50,50,0,loss,machine_b4_r4.png,right,blue
-5,100,-4,0,50,0,loss,machine_b4_r4.png,left,red
-5,100,0,-11,50,0,loss,machine_b4_r4.png,right,blue
-5,100,-14,0,50,0,loss,machine_b4_r4.png,left,red
-5,100,0,-21,50,0,loss,machine_b4_r4.png,right,blue
-5,100,-24,0,50,0,loss,machine_b4_r4.png,left,red
-5,100,0,-31,50,0,loss,machine_b4_r4.png,right,blue
-5,100,-34,0,50,0,loss,machine_b4_r4.png,left,red
-5,100,0,-41,50,0,loss,machine_b4_r4.png,right,blue
-5,100,-44,0,50,0,loss,machine_b4_r4.png,left,red
-5,100,0,-49,50,0,loss,machine_b4_r4.png,right,blue
-5,100,-6,0,50,0,loss,machine_b4_r4.png,left,red
-5,100,0,-9,50,0,loss,machine_b4_r4.png,right,blue
-5,100,-16,0,50,0,loss,machine_b4_r4.png,left,red
-5,100,0,-19,50,0,loss,machine_b4_r4.png,right,blue
-5,100,-26,0,50,0,loss,machine_b4_r4.png,left,red
-5,100,0,-29,50,0,loss,machine_b4_r4.png,right,blue
-5,100,-36,0,50,0,loss,machine_b4_r4.png,left,red
-5,100,0,-39,50,0,loss,machine_b4_r4.png,right,blue
-5,100,-46,0,50,0,loss,machine_b4_r4.png,left,red
-5,100,0,-50,50,0,loss,machine_b4_r4.png,right,blue
-5,100,-5,0,75,0,loss,machine_b6_r2.png,left,red
-5,100,0,-10,75,0,loss,machine_b2_r6.png,right,blue
-5,100,-15,0,75,0,loss,machine_b6_r2.png,left,red
-5,100,0,-20,75,0,loss,machine_b2_r6.png,right,blue
-5,100,-25,0,75,0,loss,machine_b6_r2.png,left,red
-5,100,0,-30,75,0,loss,machine_b2_r6.png,right,blue
-5,100,-35,0,75,0,loss,machine_b6_r2.png,left,red
-5,100,0,-40,75,0,loss,machine_b2_r6.png,right,blue
-5,100,-45,0,75,0,loss,machine_b6_r2.png,left,red
-5,100,0,-50,75,0,loss,machine_b2_r6.png,right,blue
-5,100,-4,0,75,0,loss,machine_b6_r2.png,left,red
-5,100,0,-11,75,0,loss,machine_b2_r6.png,right,blue
-5,100,-14,0,75,0,loss,machine_b6_r2.png,left,red
-5,100,0,-21,75,0,loss,machine_b2_r6.png,right,blue
-5,100,-24,0,75,0,loss,machine_b6_r2.png,left,red
-5,100,0,-31,75,0,loss,machine_b2_r6.png,right,blue
-5,100,-34,0,75,0,loss,machine_b6_r2.png,left,red
-5,100,0,-41,75,0,loss,machine_b2_r6.png,right,blue
-5,100,-44,0,75,0,loss,machine_b6_r2.png,left,red
-5,100,0,-49,75,0,loss,machine_b2_r6.png,right,blue
-5,100,-6,0,75,0,loss,machine_b6_r2.png,left,red
-5,100,0,-9,75,0,loss,machine_b2_r6.png,right,blue
-5,100,-16,0,75,0,loss,machine_b6_r2.png,left,red
-5,100,0,-19,75,0,loss,machine_b2_r6.png,right,blue
-5,100,-26,0,75,0,loss,machine_b6_r2.png,left,red
-5,100,0,-29,75,0,loss,machine_b2_r6.png,right,blue
-5,100,-36,0,75,0,loss,machine_b6_r2.png,left,red
-5,100,0,-39,75,0,loss,machine_b2_r6.png,right,blue
-5,100,-46,0,75,0,loss,machine_b6_r2.png,left,red
-5,100,0,-50,75,0,loss,machine_b2_r6.png,right,blue
